#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T13:04:41 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T13:04:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/625/A14/table5&-source=J/A+A/625/A14/table5&-out=SourceId&-out=RA_ICRS&-out=DE_ICRS&-out=o_Gmag&-out=o_GBPmag&-out=o_GRPmag&-out=Per&-out=Gmag&-out=GBPmag&-out=GRPmag&-out=Plx&-out=e_Plx&-out=E(BP/RP)&-out=epsi&-out=Signiepsi&-out=RUWE&-out=Class&-out=New&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36250014
#Name: J/A+A/625/A14
#Title: Reclassification of Cepheids in the Gaia DR2 (Ripepi+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	creator=Ripepi V.	    First author or institution
#INFO	cites=bibcode:2019A&A...625A..14R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/625/A14	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36250014	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-02-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_625_A14_table5:
#Name: J/A+A/625/A14/table5
#Title: Reclassification of the Cepheids in Gaia DR2
#Column	SourceId	(I19)	Gaia DR2 source identification	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	o_Gmag	(I3)	Number of epochs in G	[ucd=meta.number]
#Column	o_GBPmag	(I3)	Number of epochs in GBP	[ucd=meta.number]
#Column	o_GRPmag	(I3)	Number of epochs in GRP	[ucd=meta.number]
#Column	Per	(F11.6)	Period	[ucd=time.period]
#Column	Gmag	(F6.3)	Intensity averaged magnitudes in G	[ucd=phot.mag;em.opt]
#Column	GBPmag	(F6.3)	Intensity averaged magnitudes in GBP	[ucd=phot.mag;em.opt.B]
#Column	GRPmag	(F6.3)	Intensity averaged magnitudes in GRP	[ucd=phot.mag;em.opt.R]
#Column	Plx	(F7.3)	Parallax	[ucd=pos.parallax]
#Column	e_Plx	(F6.3)	Error on parallax	[ucd=stat.error;pos.parallax]
#Column	E(BP/RP)	(F6.3)	Excess of flux in the BP and RP integrated photometry with respect to the G band	[ucd=phot.flux;arith.ratio]
#Column	epsi	(F6.3)	Excess noise of the source	[ucd=stat.fit.param]
#Column	Signiepsi	(F8.3)	Significance of epsi	[ucd=stat.fit.goodness]
#Column	RUWE	(F6.3)	Renormalised unit weight error	[ucd=phys.atmol.weight]
#Column	Class	(a13)	Variability classification from from present work	[ucd=meta.code;src.var]
#Column	New	(A1)	[N] Flag "N" to denote a cepheid not known in the literature	[ucd=meta.code]
SourceId;RA_ICRS;DE_ICRS;o_Gmag;o_GBPmag;o_GRPmag;Per;Gmag;GBPmag;GRPmag;Plx;e_Plx;E(BP/RP);epsi;Signiepsi;RUWE;Class;New
 ;deg;deg; ; ; ;d;mag;mag;mag;mas;mas; ;mas; ;mas; ;
-------------------;---------;---------;---;---;---;-----------;------;------;------;-------;------;------;------;--------;------;-------------;-
2947530506428832768;101.64608;-14.92456; 19; 17; 17;   0.095370;12.677;12.997;12.220;  0.855; 0.030; 1.205; 0.000;   0.000; 0.965;OTHER        ;
3315820030750497536;089.13874;+01.70906; 14; 14; 14;   0.273320;16.263;17.001;15.385;  0.415; 0.078; 1.344; 0.000;   0.000; 1.013;RRC          ;
4044404165342126848;276.27275;-34.44904; 17; 14; 15;   1.110990;15.780;16.080;15.320;  0.058; 0.050; 1.241; 0.000;   0.000; 0.938;ACEP_F       ;
4296338318281270144;293.05243;+08.93232; 32; 28; 32;   0.445840;16.755;17.361;15.992;  0.123; 0.076; 1.279; 0.000;   0.000; 1.032;OTHER        ;
6641655551574932992;298.65060;-53.31556; 32; 31; 31;   0.453790;13.830;14.016;13.499;  0.177; 0.026; 1.199; 0.108;   3.370; 1.228;RRC          ;N
5631368811358200320;141.58416;-31.61573; 19; 16; 17;   0.465190;16.371;16.604;15.981;  0.018; 0.084; 1.245; 0.167;   1.133; 1.079;OTHER        ;
4437777711669788416;244.96412;+05.29721; 39; 33; 35;   0.469760;16.403;16.598;16.067;  0.046; 0.066; 1.208; 0.000;   0.000; 0.985;OTHER        ;
4113412916685330304;254.11532;-24.06865; 36; 30; 28;   0.476050;16.500;16.869;15.891;  0.107; 0.086; 1.247; 0.000;   0.000; 1.003;OTHER        ;
4311050922079027584;285.55926;+10.57317; 18; 15; 13;   0.477060;18.337;19.361;17.269;  0.064; 0.207; 1.447; 0.550;   1.565; 1.051;---          ;
3099348185775497728;101.98331;-07.41384; 19; 17; 16;   0.481990;14.245;14.649;13.646;  0.229; 0.032; 1.237; 0.000;   0.000; 0.911;RRAB         ;
4114405122877842688;257.82295;-23.27459; 21; 17; 19;   0.483840;16.982;17.432;16.387; -0.127; 0.128; 1.311; 0.000;   0.000; 1.023;RRAB         ;
5958267083020200448;263.74736;-44.83491; 22; 21; 22;   0.485820;15.313;15.668;14.777;  0.040; 0.041; 1.234; 0.000;   0.000; 1.065;DCEP_1O      ;N
1454878497455250048;205.55970;+28.42065; 45; 44; 42;   0.486120;15.315;15.451;14.968; -0.045; 0.035; 1.234; 0.000;   0.000; 0.993;RRC          ;
4043821561616680448;270.95217;-31.78211; 17; 12; 14;   0.495900;16.681;17.264;15.916;  0.039; 0.096; 1.309; 0.159;   0.589; 1.035;RRAB         ;
6027007317365233920;252.12822;-33.32106; 35; 31; 32;   0.509640;17.119;17.791;16.273; -0.018; 0.111; 1.333; 0.061;   0.106; 1.041;OTHER        ;
4567278053753143552;260.56273;+21.54737; 50; 47; 47;   0.512990;15.447;15.631;15.096;  0.030; 0.032; 1.201; 0.000;   0.000; 1.002;OTHER        ;
4505713270989483136;281.31161;+13.37188; 23; 21; 19;   0.515870;15.941;16.386;15.181;  0.064; 0.073; 1.324; 0.448;  14.177; 1.776;RRAB         ;N
1788934319227880320;319.12344;+19.74569; 18; 16; 16;   0.517150;13.786;14.054;13.357;  0.307; 0.040; 1.201; 0.000;   0.000; 1.087;RRAB         ;
4047298109961251200;280.46871;-29.86475; 15; 12; 12;   0.522920;16.057;16.568;15.701;  0.131; 0.107; 1.303; 0.175;   1.302; 1.091;RRAB         ;
4129327552905180672;255.42847;-18.90003; 16; 15; 14;   0.524250;15.381;15.740;14.852;  0.099; 0.069; 1.234; 0.000;   0.000; 0.936;RRAB         ;
5265931622060872704;091.44158;-73.00839; 22; 19; 19;   0.531130;17.773;18.065;17.329;  0.044; 0.141; 1.234; 0.354;   1.364; 1.114;DCEP_MULTI   ;
2000302716575369344;338.06707;+50.58814; 42; 35; 37;   0.531900;17.019;16.949;16.873;  0.107; 0.074; 1.279; 0.000;   0.000; 0.979;OTHER        ;
